timeIDX,timeA,timeB,time,day2IDX,day2,day1IDX,day1,notes
0,0,0,0,7.5,433.335,7.5,433.335,
0.25,0.0909090909090909,0.0859106529209622,0.088339222614841,7.7,436.8906,7.4,431.5572,
0.5,0.181818181818182,0.171821305841924,0.176678445229682,7.6,435.1128,7.2,428.0016,
0.75,0.272727272727273,0.257731958762887,0.265017667844523,7.5,433.335,7.2,428.0016,
1,0.363636363636364,0.343642611683849,0.353356890459364,7.7,436.8906,7.0,424.4,
1.25,0.454545454545455,0.429553264604811,0.441696113074205,8.0,442.2,7.0,424.4,
1.5,0.545454545454545,0.515463917525773,0.530035335689046,8.0,442.2,6.6,417.3348,
1.75,0.636363636363636,0.601374570446735,0.618374558303887,7.7,436.8906,6.8,420.8904,
2,0.727272727272727,0.687285223367698,0.706713780918728,7.9,440.4462,6.8,420.8904,
2.25,0.818181818181818,0.77319587628866,0.795053003533569,7.7,436.8906,6.9,422.6682,
2.5,0.909090909090909,0.859106529209622,0.88339222614841,7.6,435.1128,6.0,406.7,
2.75,1,0.945017182130584,0.971731448763251,7.4,431.5572,6.5,415.557,
3,1.09090909090909,1.03092783505155,1.06007067137809,7.6,435.1128,7.0,424.4,
3.25,1.18181818181818,1.11683848797251,1.14840989399293,7.3,429.7794,7.2,428.0016,
3.5,1.27272727272727,1.20274914089347,1.23674911660777,7.3,429.7794,6.5,415.557,
3.75,1.36363636363636,1.28865979381443,1.32508833922261,7.2,428.0016,6.4,413.7792,
4,1.45454545454545,1.3745704467354,1.41342756183746,4.3,376.4454,6.2,410.2236,Face Off
4.25,1.54545454545455,1.46048109965636,1.5017667844523,5.2,392.4456,6.3,412.0014,
4.5,1.63636363636364,1.54639175257732,1.59010600706714,4.8,385.3344,6.2,410.2236,
4.75,1.72727272727273,1.63230240549828,1.67844522968198,4.6,381.7788,5.9,404.8902,
5,1.81818181818182,1.71821305841924,1.76678445229682,3.8,367.5564,5.7,401.3346,
5.25,1.90909090909091,1.80412371134021,1.85512367491166,4.4,378.2232,5.9,404.8902,
5.5,2,1.89003436426117,1.9434628975265,8.2,445.7796,5.7,401.3346,End of 1st
5.75,2.09090909090909,1.97594501718213,2.03180212014134,6.8,420.8904,5.6,399.5568,
6,2.18181818181818,2.06185567010309,2.12014134275618,6.1,408.4458,5.7,401.3346,
6.25,2.27272727272727,2.14776632302405,2.20848056537102,4.1,372.8898,5.5,397.779,
6.5,2.36363636363636,2.23367697594502,2.29681978798587,3.8,367.5564,4.5,380.001,
6.75,2.45454545454545,2.31958762886598,2.38515901060071,4.0,371.1,5.4,396.0012,
7,2.54545454545455,2.40549828178694,2.47349823321555,4.0,371.1,5.6,399.5568,
7.25,2.63636363636364,2.4914089347079,2.56183745583039,3.7,365.7786,5.6,399.5568,
7.5,2.72727272727273,2.57731958762887,2.65017667844523,3.0,353.3,5.3,394.2234,
7.75,2.81818181818182,2.66323024054983,2.73851590106007,7.9,440.4462,5.4,396.0012,End of 2nd
8,2.90909090909091,2.74914089347079,2.82685512367491,6.6,417.3348,5.3,394.2234,
8.25,3,2.83505154639175,2.91519434628975,5.1,390.6678,5.1,390.6678,
8.5,3.09090909090909,2.92096219931271,3.00353356890459,3.7,365.7786,5.1,390.6678,
8.75,3.18181818181818,3.00687285223368,3.09187279151943,3.5,362.223,4.9,387.1122,
9,3.27272727272727,3.09278350515464,3.18021201413428,3.0,353.3,5.4,396.0012,
9.25,3.36363636363636,3.1786941580756,3.26855123674912,3.0,353.3,5.5,397.779,
9.5,3.45454545454545,3.26460481099656,3.35689045936396,2.5,344.445,5.7,401.3346,
9.75,3.54545454545455,3.35051546391753,3.4452296819788,1.3,323.1114,5.6,399.5568,
10,3.63636363636364,3.43642611683849,3.53356890459364,8.4,449.3352,6.4,413.7792,End of 3rd
10.25,3.72727272727273,3.52233676975945,3.62190812720848,7.6,435.1128,5.4,396.0012,
10.5,3.81818181818182,3.60824742268041,3.71024734982332,5.2,392.4456,5.7,401.3346,
10.75,3.90909090909091,3.69415807560137,3.79858657243816,3.0,353.3,5.5,397.779,
11,4,3.78006872852234,3.886925795053,2.0,335.6,5.8,403.1124,
11.25,4.09090909090909,3.8659793814433,3.97526501766784,0.9,316.0002,5.7,401.3346,Canada wins
11.5,4.18181818181818,3.95189003436426,4.06360424028269,3.0,353.3,5.7,401.3346,
11.75,4.27272727272727,4.03780068728522,4.15194346289753,2.9,351.5562,5.6,399.5568,
12,4.36363636363636,4.12371134020619,4.24028268551237,0.7,312.4446,5.5,397.779,Medal ceremony
12.25,4.45454545454545,4.20962199312715,4.32862190812721,3.0,353.3,6.0,406.7,
12.5,4.54545454545455,4.29553264604811,4.41696113074205,8.9,458.2242,5.8,403.1124,
12.75,4.63636363636364,4.38144329896907,4.50530035335689,8.0,442.2,5.6,399.5568,
13,4.72727272727273,4.46735395189003,4.59363957597173,7.0,424.4,5.9,404.8902,
